WT21-B37-76	0.0026944717658989054
WT21-B37-75	0.0015331776247337545
WT25-B39-116	0.0014685067025454813
WT23-B21-53	0.0013735311444381126
WT24-B26-10	0.0012761977105058557
WT24-B40-171	0.0012452452498533393
WT23-B39-340	0.0012428463464873088
WT23-B37-134	0.00120542569716446
WT08-B18-400	0.0011447766549173325
WT13-B06-284	0.001136552785111011
WT13-B06-273	0.0010549197863811857
WT01-B18-225	9.553814113816792E-4
WT04-B27-720	9.409582770108354E-4
WT24-B26-46	8.622332703706676E-4
WT23-B19-156	8.250683916725901E-4
WT04-B30-12	8.166218055651719E-4
WT25-B15-307	7.972231398990959E-4
WT07-B18-256	7.749908365644026E-4
WT24-B40-167	7.075963976352469E-4
WT14-B03-220	6.988546075096204E-4
WT18-B31-240	6.942214269948724E-4
WT14-B03-227	6.85269294623823E-4
WT04-B40-202	6.846769039342901E-4
WT08-B19-222	6.495322442231856E-4
WT23-B20-363	6.396311334315763E-4
WT27-B28-203	6.270791088559047E-4
WT13-B39-295	6.215360505438958E-4
WT13-B15-160	6.198582864843148E-4
WT12-B30-56	6.024572054119076E-4
WT10-B02-288	5.844500777695015E-4
WT14-B36-337	5.61709216980336E-4
WT21-B40-37	5.471873512185578E-4
WT21-B35-155	5.456985502790351E-4
WT23-B01-40	5.408490409965228E-4
WT08-B08-60	5.361194225120317E-4
WT22-B38-403	5.335771740203673E-4
WT13-B39-321	5.328912628172932E-4
WT04-B22-268	5.328461373058429E-4
WT14-B02-400	5.327674132112082E-4
WT18-B14-66	5.295560317070986E-4
WT06-B14-69	5.191638672314916E-4
WT23-B38-120	5.186665028787395E-4
WT06-B35-151	5.169269794354511E-4
WT10-B33-300	5.16773741077672E-4
WT14-B36-323	5.158637362822818E-4
WT14-B36-335	5.158637362822818E-4
WT14-B36-336	5.158637362822818E-4
WT14-B36-334	5.158637362822818E-4
WT06-B35-161	5.150210192237929E-4
WT27-B20-494	5.144771387143283E-4
WT23-B38-87	5.138126348841957E-4
WT27-B34-57	5.064134446356289E-4
WT27-B32-30	5.006797147541216E-4
WT04-B40-238	4.983033348670548E-4
WT23-B27-31	4.944020425290574E-4
